      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      3.5920   3.4517E+02       1.00612287       0.14358286
      3.5970   3.4469E+02       0.98634623       0.14072443
      3.6020   3.4421E+02       0.97525839       0.14142829
      3.6070   3.4373E+02       0.96994199       0.14490062
      3.6120   3.4326E+02       0.96232933       0.14797189
      3.6170   3.4278E+02       0.94420705       0.14757982
      3.6220   3.4231E+02       0.91274688       0.14281422
      3.6270   3.4184E+02       0.87179739       0.13513192
      3.6320   3.4137E+02       0.82830392       0.12700435
      3.6370   3.4090E+02       0.78782871       0.12038928
      3.6420   3.4043E+02       0.75240433       0.11594559
      3.6470   3.3996E+02       0.72089430       0.11302554
      3.6520   3.3950E+02       0.69070384       0.11025838
      3.6570   3.3903E+02       0.65971680       0.10634226
      3.6620   3.3857E+02       0.62777965       0.10086585
      3.6670   3.3811E+02       0.59687604       0.09464185
      3.6720   3.3765E+02       0.56989787       0.08920592
      3.6770   3.3719E+02       0.54923404       0.08613435
      3.6820   3.3673E+02       0.53561093       0.08615428
      3.6870   3.3627E+02       0.52742214       0.08839960
      3.6920   3.3582E+02       0.52138241       0.09102213
      3.6970   3.3536E+02       0.51437698       0.09258413
      3.7020   3.3491E+02       0.50500529       0.09277120
      3.7070   3.3446E+02       0.49350171       0.09201724
      3.7120   3.3401E+02       0.48051073       0.09056059
      3.7170   3.3356E+02       0.46652634       0.08811439
      3.7220   3.3311E+02       0.45264417       0.08470132
      3.7270   3.3266E+02       0.44111183       0.08159368
      3.7320   3.3222E+02       0.43409153       0.08065842
      3.7370   3.3177E+02       0.43170525       0.08252734
      3.7420   3.3133E+02       0.43150631       0.08589461
      3.7470   3.3089E+02       0.42976958       0.08865241
      3.7520   3.3045E+02       0.42345057       0.08930752
      3.7570   3.3001E+02       0.41141192       0.08747328
      3.7620   3.2957E+02       0.39435720       0.08345746
      3.7670   3.2913E+02       0.37431116       0.07797815
      3.7720   3.2870E+02       0.35403196       0.07241455
      3.7770   3.2826E+02       0.33564509       0.06823799
      3.7820   3.2783E+02       0.31931590       0.06564241
      3.7870   3.2739E+02       0.30348762       0.06325949
      3.7920   3.2696E+02       0.28654519       0.05950381
      3.7970   3.2653E+02       0.26828877       0.05394482
      3.8020   3.2610E+02       0.24992736       0.04741977
      3.8070   3.2567E+02       0.23305782       0.04120207
      3.8120   3.2525E+02       0.21891728       0.03629842
      3.8170   3.2482E+02       0.20823617       0.03332153
      3.8220   3.2440E+02       0.20129271       0.03259638
      3.8270   3.2397E+02       0.19799141       0.03419827
      3.8320   3.2355E+02       0.19794426       0.03792683
      3.8370   3.2313E+02       0.20039231       0.04322831
      3.8420   3.2271E+02       0.20388106       0.04904635
      3.8470   3.2229E+02       0.20609036       0.05381571
      3.8520   3.2187E+02       0.20448469       0.05592548
      3.8570   3.2145E+02       0.19770908       0.05450711
      3.8620   3.2104E+02       0.18649900       0.04992374
      3.8670   3.2062E+02       0.17312198       0.04353148
      3.8720   3.2021E+02       0.15994537       0.03686309
      3.8770   3.1979E+02       0.14843492       0.03096008
      3.8820   3.1938E+02       0.13899521       0.02625320
      3.8870   3.1897E+02       0.13127918       0.02272684
      3.8920   3.1856E+02       0.12464389       0.02010774
      3.8970   3.1815E+02       0.11858400       0.01808011
      3.9020   3.1775E+02       0.11296208       0.01650418
      3.9070   3.1734E+02       0.10794323       0.01546989
      3.9120   3.1693E+02       0.10378792       0.01517205
      3.9170   3.1653E+02       0.10070185       0.01577739
      3.9220   3.1612E+02       0.09876585       0.01735679
      3.9270   3.1572E+02       0.09791117       0.01985014
      3.9320   3.1532E+02       0.09790049       0.02300182
      3.9370   3.1492E+02       0.09824010       0.02623557
      3.9420   3.1452E+02       0.09810812       0.02861347
      3.9470   3.1412E+02       0.09664263       0.02918452
      3.9520   3.1373E+02       0.09359636       0.02766118
      3.9570   3.1333E+02       0.08959412       0.02466881
      3.9620   3.1293E+02       0.08560132       0.02121942
